reporter,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
CIV,167.056884765625,167.61264038085938,160.08349609375,157.5131072998047,157.96922302246094,167.3671417236328,171.26608276367188,168.51048278808594,170.2117462158203,161.69967651367188,165.729736328125,168.443603515625,166.75192260742188,169.56422424316406,166.69317626953125,171.67091369628906,163.09848022460938,157.4772186279297,160.1521453857422,152.37448120117188
CMR,205.23097229003906,201.61488342285156,198.52003479003906,,,212.69512939453125,200.50103759765625,207.25241088867188,208.79013061523438,210.29908752441406,210.3905029296875,204.44012451171875,198.4935760498047,199.99209594726562,209.6482696533203,205.49896240234375,200.9682159423828,193.34426879882812,,193.749755859375
COG,206.10401916503906,,,,,,,,,,,,144.19635009765625,143.27224731445312,,,,149.11676025390625,123.05741119384766,159.9388885498047
COK,,,,,,,,,,,307.4428405761719,,,355.3613586425781,386.6937561035156,376.9091491699219,390.0544128417969,,,
COL,147.84722900390625,152.13694763183594,148.21835327148438,148.48541259765625,153.62921142578125,154.3410186767578,152.9779510498047,154.5194091796875,153.5529327392578,151.48936462402344,149.61912536621094,147.40382385253906,150.90411376953125,147.39112854003906,149.07203674316406,149.94992065429688,143.23876953125,143.1751708984375,144.88853454589844,162.7967987060547
COM,276.6412048339844,293.585693359375,298.897216796875,300.51080322265625,312.4053955078125,341.2402038574219,322.4143371582031,327.8200988769531,325.2171630859375,390.4405517578125,369.7051086425781,380.56512451171875,412.74371337890625,357.54888916015625,346.4429016113281,335.55303955078125,330.4104919433594,327.10546875,333.53466796875,
CPV,,,267.6133117675781,262.63995361328125,266.46441650390625,267.946044921875,274.35467529296875,271.6771240234375,276.9407653808594,265.5626525878906,269.7625732421875,265.75152587890625,267.77667236328125,,260.61602783203125,258.27178955078125,248.86187744140625,241.0264892578125,228.77743530273438,207.87704467773438
CRI,157.76089477539062,158.01063537597656,146.79721069335938,140.12342834472656,135.0682830810547,140.0536346435547,142.1240997314453,139.62017822265625,138.3070068359375,140.46690368652344,138.8954315185547,141.8780975341797,140.42398071289062,139.7665557861328,150.77154541015625,148.69509887695312,143.52041625976562,140.331787109375,142.0927734375,
CUB,,,,,196.75579833984375,197.11602783203125,196.68878173828125,202.42144775390625,199.20164489746094,190.48069763183594,185.19691467285156,207.99205017089844,,,,,,,,
CYP,178.87034606933594,180.7905731201172,182.00181579589844,182.32778930664062,183.3220672607422,184.05294799804688,184.17527770996094,182.12863159179688,181.1514434814453,174.9609375,173.58602905273438,169.17393493652344,169.71678161621094,170.21237182617188,177.6259765625,176.2096710205078,169.83094787597656,172.447998046875,168.92263793945312,166.49700927734375
